"","Municipi","Any","Comarca","Població","paper_cartro","vidre","envasos","piles","kg_hab_any_recollida","rs_rm","suma_fraccio_resta","kg_hab_any","model_rs","percentatge_poblacio_pap","fraccions_pap"
"1","Abella De La Conca",2000,"Pallars Jussà",186,6.16,6.32,0.6,0.01,79.53,13.65,93.59,582.69,NA,0,NA
"2","Abella De La Conca",2001,"Pallars Jussà",186,3.4,4.96,0.57,0.01,64.42,15.14,67.18,425.58,NA,0,NA
"3","Abella De La Conca",2002,"Pallars Jussà",179,5.21,4.02,0.64,0.01,93.48,19.33,69.82,483.53,NA,0,NA
"4","Abella De La Conca",2003,"Pallars Jussà",183,6.71,1.27,0.91,0.01,77.78,17.58,66.71,442.34,NA,0,NA
"5","Abella De La Conca",2004,"Pallars Jussà",187,5.53,4.83,0.91,0.02,127.75,26.84,65.13,476.04,NA,0,NA
"6","Abella De La Conca",2005,"Pallars Jussà",183,6.02,4.61,1.53,0.02,121.49,23.97,70.5,506.74,NA,0,NA
"7","Abella De La Conca",2006,"Pallars Jussà",186,6.8,4.87,2.15,0.02,104.04,22.61,66.23,460.14,NA,0,NA
"8","Abella De La Conca",2007,"Pallars Jussà",188,6.68,4.92,2.37,0,93.17,21.15,65.29,440.48,NA,0,NA
"9","Abella De La Conca",2008,"Pallars Jussà",183,5.07,3.26,1.9,0.02,79.41,18.93,62.22,419.4,NA,0,NA
"10","Abella De La Conca",2015,"Pallars Jussà",170,4.27,2,2.29,0.05,117.95,27.57,52.67,427.77,NA,0,NA
"11","Abella De La Conca",2009,"Pallars Jussà",183,6.85,4.54,2.96,0.03,105.91,24.48,59.81,432.74,NA,0,NA
"12","Abella De La Conca",2016,"Pallars Jussà",181,5.19,3.66,2.69,0.1,131.54,31.94,50.73,411.82,NA,0,NA
"13","Abella De La Conca",2018,"Pallars Jussà",181,4.27,4.93,3.51,0.06,186.15,40.76,48.97,456.7,NA,0,NA
"14","Abella De La Conca",2010,"Pallars Jussà",181,9.2,12.05,3.87,0.02,180.5,36.94,55.77,488.62,NA,0,NA
"15","Abella De La Conca",2011,"Pallars Jussà",181,14.72,10.19,7.51,0.2,283.43,47.88,55.85,591.99,NA,0,NA
"16","Abella De La Conca",2012,"Pallars Jussà",174,5.75,4.89,3.07,0.1,150.72,34.39,50.04,438.3,NA,0,NA
"17","Abella De La Conca",2017,"Pallars Jussà",184,5.33,3.97,2.76,0.08,147.83,34.15,52.44,432.83,NA,0,NA
"18","Abella De La Conca",2014,"Pallars Jussà",170,4.78,3.84,2.72,0.04,138.45,32.09,49.81,431.45,NA,0,NA
"19","Abella De La Conca",2013,"Pallars Jussà",165,5.74,4.53,3.07,0.04,145.07,32.63,49.43,444.65,NA,0,NA
"20","Abella De La Conca",2019,"Pallars Jussà",179,5.16,5.71,4.32,0.01,215.02,42.19,52.73,509.6,NA,0,NA
"21","Abrera",2000,"Baix Llobregat",7003,170.18,110.68,31.71,0.73,72.1,7.14,6565.1,1009.57,NA,0,NA
"22","Abrera",2007,"Baix Llobregat",10840,213.99,158.72,108.3,1.36,103.09,18.74,4845.46,550.09,NA,0,NA
"23","Abrera",2004,"Baix Llobregat",9422,184.05,124.68,60.4,0.9,60.84,11.02,4629,552.13,NA,0,NA
"24","Abrera",2001,"Baix Llobregat",7003,149.38,108.5,39.66,0.45,72.68,11.12,4066.57,653.37,NA,0,NA
"25","Abrera",2008,"Baix Llobregat",11278,210.97,201.83,120.06,0.37,95.62,18.96,4609.2,504.31,NA,0,NA
"26","Abrera",2005,"Baix Llobregat",9839,203.39,124.4,59.07,0.91,83.37,15.97,4317.57,522.19,NA,0,NA
"27","Abrera",2002,"Baix Llobregat",8624,151.61,101.6,48.38,0.61,57.85,10.57,4223.32,547.57,NA,0,NA
"28","Abrera",2009,"Baix Llobregat",11521,197.49,188.9,143.47,1.06,100.76,20.24,4575.91,497.94,NA,0,NA
"29","Abrera",2006,"Baix Llobregat",10244,231.23,146.42,75.95,0.28,106.7,18.73,4744.14,569.81,NA,0,NA
"30","Abrera",2003,"Baix Llobregat",9166,171.35,111.3,57.01,0.71,61.85,11.8,4237,524.1,NA,0,NA
"31","Abrera",2010,"Baix Llobregat",11469,180.53,200.9,133.13,0.77,94.48,19.15,4575.33,493.41,NA,0,NA
"32","Abrera",2011,"Baix Llobregat",11611,163.45,159.92,133.87,0.44,92.82,18.7,4684.81,496.3,NA,0,NA
"33","Abrera",2012,"Baix Llobregat",11870,167.96,157.7,137.52,0.63,92.53,19.85,4435.81,466.23,NA,0,NA
"34","Abrera",2013,"Baix Llobregat",12055,133.94,131.41,127.73,0.57,88.36,19.84,4303.35,445.34,NA,0,NA
"35","Abrera",2014,"Baix Llobregat",12125,112.07,158.21,134.76,2.49,88.86,19.65,4405,452.16,NA,0,NA
"36","Abrera",2018,"Baix Llobregat",12334,316.96,296.8,321.67,2.37,143.04,28.62,4400,499.78,NA,0,NA
"37","Abrera",2016,"Baix Llobregat",12216,119.51,147.88,126.69,2.94,86.28,20.79,4015,414.94,NA,0,NA
"38","Abrera",2017,"Baix Llobregat",12363,250.17,279.54,231.28,1.96,105.32,22.45,4498.11,469.16,NA,0,NA
"39","Abrera",2015,"Baix Llobregat",12071,107.62,142.3,130.8,2.23,90.14,20.1,4326,448.52,NA,0,NA
"40","Abrera",2019,"Baix Llobregat",12489,213.79,150.98,186.52,2.29,127.14,25.64,4604.78,495.85,NA,0,NA
"41","Àger",2000,"Noguera",553,5.05,10.8,1.81,0.01,32.94,5.58,308.46,590.73,NA,0,NA
"42","Àger",2001,"Noguera",553,6.49,14.2,3.12,0.02,49.13,7.05,358.19,696.85,NA,0,NA
"43","Àger",2002,"Noguera",516,6.46,12.2,5.13,0.03,55.9,6.97,385.14,802.29,NA,0,NA
"44","Àger",2003,"Noguera",497,6.21,13,6.07,0.02,64.09,7.48,394.14,857.13,NA,0,NA
"45","Àger",2007,"Noguera",555,10.41,8.17,4.05,0.02,61.8,14.57,201.09,424.13,NA,0,NA
"46","Àger",2004,"Noguera",502,6.21,16.8,2.85,0.01,58.16,8.64,308.75,673.21,NA,0,NA
"47","Àger",2008,"Noguera",557,10.15,10.58,5.56,0.02,173.85,34.4,184.67,505.39,NA,0,NA
"48","Àger",2005,"Noguera",485,6.5,18.8,3.12,0.02,64.96,11.2,249.7,579.81,NA,0,NA
"49","Àger",2009,"Noguera",575,11.1,9.21,5.41,0,141.52,29.26,196.77,483.73,NA,0,NA
"50","Àger",2006,"Noguera",491,7.75,8.95,3.41,0.02,47.53,8.99,236.19,528.56,NA,0,NA
"51","Àger",2010,"Noguera",584,10.22,10.53,5.94,0.02,109.97,19.55,264.23,562.41,NA,0,NA
"52","Àger",2011,"Noguera",590,7.72,9.5,5.94,0.05,101.5,17.36,285,584.55,NA,0,NA
"53","Àger",2015,"Noguera",613,7.1,8.86,5.63,0.04,104.22,21.85,228.48,476.95,NA,0,NA
"54","Àger",2012,"Noguera",593,6.73,9.29,5.97,0.01,83.61,16.24,255.76,514.9,NA,0,NA
"55","Àger",2013,"Noguera",604,8.76,14.15,8.21,0.02,113.15,21.84,244.61,518.13,NA,0,NA
"56","Àger",2014,"Noguera",594,6.9,9.12,5.84,0,118.61,20.78,268.66,570.9,NA,0,NA
"57","Àger",2018,"Noguera",611,9.62,10.38,7.82,0.02,126.88,25.22,229.82,503.02,NA,0,NA
"58","Àger",2016,"Noguera",602,7.91,10.58,6.36,0.01,116.91,23.43,229.97,498.92,NA,0,NA
"59","Àger",2019,"Noguera",588,17.41,15.25,15.26,0.03,229.66,35.31,247.36,650.34,NA,0,NA
"60","Àger",2017,"Noguera",586,7.79,10.25,6.55,0.05,118.35,23.57,224.83,502.02,NA,0,NA
"61","Agramunt",2000,"Urgell",4925,49.03,82.6,10.89,0.61,29.11,7.45,1781.76,390.89,NA,0,NA
"62","Agramunt",2001,"Urgell",4925,52.59,77.4,15.59,0.3,29.66,7.34,1843.66,404.01,NA,0,NA
"63","Agramunt",2002,"Urgell",4759,93.37,78.38,25.19,0.27,41.47,9.11,1969.99,455.42,NA,0,NA
"64","Agramunt",2003,"Urgell",5071,120.08,85.12,38.09,0.68,67.08,16.7,1696.63,401.66,NA,0,NA
"65","Agramunt",2004,"Urgell",5212,189.61,72.52,39.44,0.5,235.73,38.11,1995.68,618.63,NA,0,NA
"66","Agramunt",2005,"Urgell",5355,166.57,92.47,51.67,0.73,199.01,35.38,1946.78,562.55,NA,0,NA
"67","Agramunt",2006,"Urgell",5459,200.11,119.13,56.98,1.02,224.49,40.49,1801.12,554.43,NA,0,NA
"68","Agramunt",2007,"Urgell",5434,190.44,141.11,68.44,0.49,113.88,24.8,1876.45,459.2,NA,0,NA
"69","Agramunt",2008,"Urgell",5577,208.61,153.79,70.69,0.62,141.74,29.41,1897.22,481.92,NA,0,NA
"70","Agramunt",2009,"Urgell",5608,194.32,156.28,68.34,0.37,119.51,26.48,1860.41,451.25,NA,0,NA
"71","Agramunt",2010,"Urgell",5618,195.84,135.96,74.83,0.86,118.52,27.53,1752.8,430.52,NA,0,NA
"72","Agramunt",2011,"Urgell",5653,133.16,84.61,58.79,0.37,163.6,34.95,1721,468.04,NA,0,NA
"73","Agramunt",2018,"Urgell",5393,228.9,110.47,115.24,0.38,245.25,45.88,1560.09,534.53,NA,0,NA
"74","Agramunt",2013,"Urgell",5599,172.06,94.46,70.21,0.97,183.29,39.25,1588.17,466.94,NA,0,NA
"75","Agramunt",2012,"Urgell",5633,135.03,97.73,65.44,0.06,195.27,39.88,1657.88,489.59,NA,0,NA
"76","Agramunt",2019,"Urgell",5371,208.99,108.63,126.06,0.27,273.61,49.96,1472.22,547.72,NA,0,NA
"77","Agramunt",2016,"Urgell",5390,182.33,113.39,91.9,0.35,194.83,40.12,1567.36,485.62,NA,0,NA
"78","Agramunt",2015,"Urgell",5491,183.78,106.74,85.09,1.08,198.76,40.58,1597.8,489.74,NA,0,NA
"79","Agramunt",2014,"Urgell",5515,178.71,104.82,82.92,0.33,173.59,37.62,1587.33,461.41,NA,0,NA
"80","Agramunt",2017,"Urgell",5405,211.97,104.77,94.57,0.26,218.98,42.92,1574.21,510.23,NA,0,NA
"81","Aguilar De Segarra",2000,"Bages",206,2.95,2.8,0.65,0,31.12,4.4,139.13,706.51,NA,0,NA
"82","Aguilar De Segarra",2004,"Bages",230,5.11,3.98,1.26,0,45.04,8.73,108.28,515.83,NA,0,NA
"83","Aguilar De Segarra",2001,"Bages",206,7.67,3.7,0.73,0,58.77,6.52,173.54,901.19,NA,0,NA
"84","Aguilar De Segarra",2005,"Bages",235,5.72,3.68,1.52,0,46.52,9.71,101.65,479.07,NA,0,NA
"85","Aguilar De Segarra",2002,"Bages",220,4.37,4.07,1.6,0,45.66,8.05,114.74,567.22,NA,0,NA
"86","Aguilar De Segarra",2006,"Bages",250,4.9,7.08,3.03,0,166.41,33.07,84.19,503.19,NA,0,NA
"87","Aguilar De Segarra",2003,"Bages",224,4.54,5.36,1.31,0,50.1,9.62,105.38,520.56,NA,0,NA
"88","Aguilar De Segarra",2007,"Bages",252,5.95,4.98,3.21,0,56.2,13.27,92.56,423.52,NA,0,NA
"89","Aguilar De Segarra",2011,"Bages",245,4.73,7.45,4.42,0,87.14,21.37,78.56,407.8,NA,0,NA
"90","Aguilar De Segarra",2008,"Bages",249,6.49,8.11,3.9,0,84.22,18.41,92.94,457.5,NA,0,NA
"91","Aguilar De Segarra",2012,"Bages",250,5.46,8.53,5.18,0,141.37,32.55,73.25,434.37,NA,0,NA
"92","Aguilar De Segarra",2009,"Bages",257,5.58,7.09,5.7,0,95.63,22.37,85.28,427.46,NA,0,NA
"93","Aguilar De Segarra",2013,"Bages",242,6.22,7.56,7.52,0,178.54,37.63,71.62,474.49,NA,0,NA
"94","Aguilar De Segarra",2010,"Bages",253,4.98,5.55,4.5,0,70.75,18.41,79.33,384.31,NA,0,NA
"95","Aguilar De Segarra",2014,"Bages",251,5.43,6.98,6.11,0,172.89,37.81,71.38,457.27,NA,0,NA
"96","Aguilar De Segarra",2016,"Bages",253,6.61,10.47,7.5,0,195.75,40.67,72.25,481.32,NA,0,NA
"97","Aguilar De Segarra",2015,"Bages",246,6.19,8.94,6.89,0,188.17,38.12,75.15,493.66,NA,0,NA
"98","Aguilar De Segarra",2017,"Bages",263,9.33,9.63,9.27,0.01,208.73,43.72,70.68,477.47,NA,0,NA
"99","Aguilar De Segarra",2019,"Bages",288,7.61,14.38,10.45,0,209.12,48.86,63.04,428.01,NA,0,NA
"100","Aguilar De Segarra",2018,"Bages",277,7.51,10.44,10.12,0.01,197.78,43.09,72.34,458.93,NA,0,NA
"101","Agullana",2000,"Alt Empordà",619,7.53,10.8,1.17,0,31.55,2.99,633.47,1054.93,NA,0,NA
"102","Agullana",2001,"Alt Empordà",619,9.12,13.2,2.37,0,39.93,4.87,482.92,820.1,NA,0,NA
"103","Agullana",2002,"Alt Empordà",668,8.05,17,2.7,0,41.57,6.07,430.09,685.42,NA,0,NA
"104","Agullana",2003,"Alt Empordà",723,7.57,17.6,2.53,0.26,38.71,6.33,414.02,611.35,NA,0,NA
"105","Agullana",2004,"Alt Empordà",746,9.01,22.4,4.16,0,47.71,7.72,425.38,617.93,NA,0,NA
"106","Agullana",2005,"Alt Empordà",759,16.29,17.6,3.98,0,49.91,7.88,442.79,633.29,NA,0,NA
"107","Agullana",2006,"Alt Empordà",756,19.05,18.8,4.62,0,56.96,9.41,414.4,605.1,NA,0,NA
"108","Agullana",2007,"Alt Empordà",753,21.82,21,5.84,0.32,65.15,10.8,405.27,603.36,NA,0,NA
"109","Agullana",2008,"Alt Empordà",806,26.27,22.2,5.79,0.01,69.15,13.07,370.66,529.03,NA,0,NA
"110","Agullana",2009,"Alt Empordà",812,16.98,20.46,6.84,0,54.83,11.34,348.03,483.43,NA,0,NA
"111","Agullana",2010,"Alt Empordà",840,17.92,28.97,7.13,0.03,92.71,17.82,359.08,520.18,NA,0,NA
"112","Agullana",2014,"Alt Empordà",826,14.75,19.92,9.15,0,104.89,24.11,272.73,435.08,NA,0,NA
"113","Agullana",2011,"Alt Empordà",839,17.78,23.21,8.06,0.07,131.53,24.6,338.24,534.67,NA,0,NA
"114","Agullana",2018,"Alt Empordà",841,26.01,31.65,14.18,0.02,225.73,43.7,244.58,516.55,NA,0,NA
"115","Agullana",2015,"Alt Empordà",828,21.62,24.83,10.35,0.02,179.99,38.35,239.63,469.4,NA,0,NA
"116","Agullana",2012,"Alt Empordà",858,16.28,27.79,10.12,0.4,148.25,28.67,316.39,517,NA,0,NA
"117","Agullana",2013,"Alt Empordà",853,13.41,21.31,6.99,0.05,135.29,29.38,277.43,460.53,NA,0,NA
"118","Agullana",2016,"Alt Empordà",841,23.8,26.05,10.32,0.15,166.94,32.85,286.95,508.14,NA,0,NA
"119","Agullana",2019,"Alt Empordà",831,31.36,33.94,15.06,0.2,200.73,40.9,241.03,490.77,NA,0,NA
"120","Agullana",2017,"Alt Empordà",831,22.71,28.26,10.55,0.02,196.24,39.47,250.12,497.23,NA,0,NA
"121","Aiguafreda",2003,"Vallès Oriental",2206,1.23,56.3,211.52,0.07,171.48,29.2,917.27,587.29,"Porta a porta",0,"3"
"122","Aiguafreda",2011,"Vallès Oriental",2481,179.39,86.04,132.35,0.5,492.51,87.27,178.29,564.37,"Porta a porta",100,"3"
"123","Aiguafreda",2010,"Vallès Oriental",2505,215.17,89.78,112.09,0.25,426.49,86.27,170.04,494.37,"Porta a porta",100,"3"
"124","Aiguafreda",2005,"Vallès Oriental",2308,176.81,68.52,97.76,0.02,255.35,41.18,841.73,620.05,"Porta a porta",0,"3"
"125","Aiguafreda",2004,"Vallès Oriental",2241,183.87,68.3,9.17,0.25,248.05,38.27,896.8,648.23,"Porta a porta",0,"3"
"126","Aiguafreda",2015,"Vallès Oriental",2465,207.79,80.3,106.12,0.56,395.76,82.83,202.29,477.82,"Porta a porta",100,"3"
"127","Aiguafreda",2019,"Vallès Oriental",2504,146.38,98.21,140.82,0.35,407.68,81.93,225.17,497.6,"Porta a porta",100,"3"
"128","Aiguafreda",2009,"Vallès Oriental",2464,223.78,97.53,119,0.45,468.07,87.8,160.21,533.1,"Porta a porta",100,"3"
"129","Aiguafreda",2013,"Vallès Oriental",2502,182.95,80.08,103.57,0.18,384.42,83.54,189.57,460.19,"Porta a porta",100,"3"
"130","Aiguafreda",2018,"Vallès Oriental",2501,139.66,96.02,148.39,0.64,429.75,82.4,229.56,521.54,"Porta a porta",100,"3"
"131","Aiguafreda",2000,"Vallès Oriental",2090,5.96,1.33,0,0.13,224.96,30.84,1054.44,729.48,"Porta a porta",0,"3"
"132","Aiguafreda",2006,"Vallès Oriental",2373,296.92,74.8,5.73,0.22,266.6,45.53,756.94,585.58,"Porta a porta",0,"3"
"133","Aiguafreda",2016,"Vallès Oriental",2467,226.23,75.55,92.38,2.89,422.44,83.21,210.27,507.67,"Porta a porta",100,"3"
"134","Aiguafreda",2014,"Vallès Oriental",2498,180.19,81.67,108.67,0.44,395.49,83.92,189.26,471.25,"Porta a porta",100,"3"
"135","Aiguafreda",2017,"Vallès Oriental",2514,192.16,72.44,114.98,0.62,417.44,83.41,208.8,500.49,"Porta a porta",100,"3"
"137","Aiguafreda",2012,"Vallès Oriental",2478,174.71,90.88,116.93,0.32,458.97,86.93,170.99,527.97,"Porta a porta",100,"3"
"138","Aiguafreda",2001,"Vallès Oriental",2090,1.41,46.66,182.84,0.2,218.1,32.96,927.23,661.75,"Porta a porta",0,"3"
"139","Aiguafreda",2002,"Vallès Oriental",2155,1.24,47.2,180.73,0.02,113.31,21.11,912.82,536.89,"Porta a porta",0,"3"
"140","Aiguafreda",2007,"Vallès Oriental",2375,358.58,88.52,0.13,0.33,216.86,41.31,731.88,525.02,"Porta a porta",0,"3"
"141","Aiguamúrcia",2000,"Alt Camp",614,12.51,37,3.83,0,86.92,11.33,417.61,767.07,NA,0,NA
"142","Aiguamúrcia",2001,"Alt Camp",614,12.98,28.42,3.98,0.02,104.08,17.61,299.06,591.14,NA,0,NA
"143","Aiguamúrcia",2002,"Alt Camp",648,8.5,21.1,5.7,0,56.03,7.01,481.46,799.03,NA,0,NA
"144","Aiguamúrcia",2003,"Alt Camp",672,10.69,18.48,7.59,0,54.76,6.65,516.45,823.29,NA,0,NA
"145","Aiguamúrcia",2004,"Alt Camp",690,12.06,26.52,4.59,0,127.12,13.53,560.46,939.38,NA,0,NA
"146","Aiguamúrcia",2005,"Alt Camp",719,18.63,32.82,6.7,0,113.27,13.53,520.47,837.15,NA,0,NA
"147","Aiguamúrcia",2006,"Alt Camp",797,26.52,27.46,11.64,0,167.37,25.27,394.49,662.34,NA,0,NA
"148","Aiguamúrcia",2007,"Alt Camp",864,26.87,30.69,14.4,0,186.75,31.83,345.61,586.76,NA,0,NA
"149","Aiguamúrcia",2011,"Alt Camp",917,14.73,29.08,7.28,0,151.73,26.75,381.04,567.26,NA,0,NA
"150","Aiguamúrcia",2008,"Alt Camp",886,25.01,38.38,14.49,0,205.77,35.82,326.7,574.5,NA,0,NA
"151","Aiguamúrcia",2015,"Alt Camp",912,12.97,33.84,10.57,0.02,140.38,25.7,370.04,546.12,NA,0,NA
"152","Aiguamúrcia",2012,"Alt Camp",906,12.93,25.17,8.21,0,106.73,22.19,339.09,481,NA,0,NA
"153","Aiguamúrcia",2009,"Alt Camp",906,19.29,28.27,10.68,0,156.67,28.45,356.98,550.68,NA,0,NA
"154","Aiguamúrcia",2013,"Alt Camp",918,11.63,25.75,7.6,0,123.34,24.35,351.77,506.53,NA,0,NA
"155","Aiguamúrcia",2010,"Alt Camp",914,17.12,27.63,7.42,0,147.25,26.9,365.68,547.34,NA,0,NA
"156","Aiguamúrcia",2014,"Alt Camp",909,13.35,29.35,9.26,0,143.23,26.56,360.07,539.35,NA,0,NA
"157","Aiguamúrcia",2017,"Alt Camp",893,15.09,22.67,14.72,0.02,146,26.14,368.37,558.51,NA,0,NA
"158","Aiguamúrcia",2016,"Alt Camp",903,14.79,24.05,10.37,0.02,124.69,22.18,395,562.12,NA,0,NA
"159","Aiguamúrcia",2018,"Alt Camp",893,21.28,28.29,22.16,0.03,180.75,27.64,422.56,653.94,NA,0,NA
"160","Aiguamúrcia",2019,"Alt Camp",901,17.47,38.82,21.37,0.04,183.5,28.45,415.86,645.06,NA,0,NA
"161","Aiguaviva",2003,"Gironès",587,29.19,20.84,4.92,0,107.37,16.36,322.23,656.32,NA,0,NA
