Data d'inici,Municipis,Àmbit Territorial,Cens 2019,Model RS FORM domiciliaria,% població servida amb el PaP,Fraccions recollides PaP
17/11/2005,ALIÓ,Alt Camp,419,Vorera i porta a porta,50,4 [FO+R+P/C+E]
17/11/2005,BRÀFIM,Alt Camp,665,Porta a porta,100,4 [FO+R+P/C+E]
21/12/2005,CABRA DEL CAMP,Alt Camp,1.113,Porta a porta,94,4 [FO+R+P/C+E]
21/12/2005,"MILÀ, EL",Alt Camp,178,Porta a porta,100,4 [FO+R+P/C+E]
21/12/2005,FIGUEROLA DEL CAMP,Alt Camp,349,Vorera i porta a porta,94,4 [FO+R+P/C+E]
21/12/2005,"MASÓ, LA",Alt Camp,290,Porta a porta,100,4 [FO+R+P/C+E]
10/7/2016,MONTFERRI,Alt Camp,387,Porta a porta,100,4 [FO+R+P/C+E]
21/12/2005,NULLES,Alt Camp,448,Vorera i porta a porta,50,4 [FO+R+P/C+E]
12/1/2006,"Pla de Santa Maria, el",Alt Camp,2.333,Porta a porta,93,5 [FO+R+V+P/C+E]
17/11/2005,"Pont d'Armentera, el",Alt Camp,545,Porta a porta,100,4 [FO+R+P/C+E]
13/02/2006,PUIGPELAT,Alt Camp,1.119,Porta a porta,100,4 [FO+R+P/C+E]
17/11/2005,RODONYÀ,Alt Camp,501,Vorera i porta a porta,70,4 [FO+R+P/C+E]
17/11/2005,VILABELLA,Alt Camp,803,Porta a porta,100,4 [FO+R+P/C+E]
10/4/2010,VILA-RODONA,Alt Camp,1.276,Porta a porta,50,4 [FO+R+P/C+E]
15/12/2014,BIURE,Alt Empordà,242,Porta a porta,100,2 [FO+R]
15/12/2014,BOADELLA I LES ESCAULES,Alt Empordà,261,Porta a porta,100,2 [FO+R]
15/12/2014,DARNIUS,Alt Empordà,554,Porta a porta,100,2 [FO+R]
15/12/2014,MAÇANET DE CABRENYS,Alt Empordà,755,Porta a porta,100,2 [FO+R]
15/12/2014,TERRADES,Alt Empordà,294,Porta a porta,100,2 [FO+R]
15/02/2006,VILAJUÏGA,Alt Empordà,1.169,Porta a porta,100,5 [FO+R+V+P/C+E]
12/6/2006,OLÈRDOLA,Alt Penedès,3.518,Porta a porta,68,2 [FO+R]
13/11/2011,SANT QUINTÍ DE MEDIONA,Alt Penedès,2.116,Porta a porta,100,2 [FO+R]
1/6/2005,SANT SADURNÍ D'ANOIA,Alt Penedès,12.689,Porta a porta,94,4 [FO+R+P/C+E]
5/11/2012,SUBIRATS,Alt Penedès,2.988,Vorera i porta a porta,70,2 [FO+R]
18/06/2018,CAPELLADES,Anoia,5.225,Porta a porta,100,5 [FO+R+V+P/C+E]
14/05/2018,CARME,Anoia,791,Porta a porta,100,5 [FO+R+V+P/C+E]
21/05/2018,CASTELLOLÍ,Anoia,599,Porta a porta,100,5 [FO+R+V+P/C+E]
